name,salary,minutes.played,hourly.wage
Alaa Abdelnaby,2844000.0,3200.0,888.75
Kareem Abdul-Jabbar,8560000.0,57446.0,149.01
Mahmoud Abdul-Rauf,19849500.0,15628.0,1270.12
Tariq Abdul-Wahad,37982800.0,4807.0,7901.56
Shareef Abdur-Rahim,95866000.0,28882.0,3319.23
Álex Abrines,15294947.0,2777.0,5507.72
Alex Acker,1949488.0,234.0,8331.15
Mark Acres,1609000.0,5982.0,268.97
Quincy Acy,8239454.0,5392.0,1528.09
Alvan Adams,1775000.0,27203.0,65.25
Hassan Adams,709881.0,547.0,1297.77
Jaylen Adams,236854.0,428.0,553.4
Jordan Adams,4213800.0,263.0,16022.05
Michael Adams,6612000.0,20446.0,323.39
Steven Adams,56324611.0,13909.0,4049.51
Rafael Addison,1733000.0,5697.0,304.2
Bam Adebayo,5446200.0,5208.0,1045.74
Deng Adel,0.0,194.0,0.0
Jeff Adrien,3314407.0,2148.0,1543.02
Arron Afflalo,58852159.0,20829.0,2825.49
Maurice Ager,3006625.0,505.0,5953.71
Mark Aguirre,8176640.0,27730.0,294.87
Blake Ahearn,125562.0,226.0,555.58
Danny Ainge,8800000.0,27755.0,317.06
Alexis Ajinça,24244516.0,3905.0,6208.58
Josh Akognon,788872.0,9.0,87652.44
Solomon Alabi,1600000.0,181.0,8839.78
Mark Alarie,1532500.0,5500.0,278.64
Furkan Aldemir,6000000.0,540.0,11111.11
Cole Aldrich,24569004.0,3389.0,7249.63
LaMarcus Aldridge,169965937.0,34481.0,4929.26
Cliff Alexander,576542.0,36.0,16015.06
Cory Alexander,12161158.0,4847.0,2509.01
Courtney Alexander,6502302.0,4067.0,1598.8
Gary Alexander,150000.0,55.0,2727.27
Joe Alexander,5076945.0,745.0,6814.69
Victor Alexander,6477850.0,5755.0,1125.6
Steve Alford,500000.0,1641.0,304.69
Rawle Alkins,0.0,120.0,0.0
Grayson Allen,2074320.0,914.0,2269.5
Jarrett Allen,3747840.0,4984.0,751.97
Jerome Allen,992500.0,1305.0,760.54
Kadeem Allen,0.0,640.0,0.0
Lavoy Allen,15181767.0,6905.0,2198.66
Malik Allen,12607130.0,7262.0,1736.04
Ray Allen,184356410.0,46344.0,3978.0
Tony Allen,40698419.0,18055.0,2254.14
Morris Almond,2087400.0,361.0,5782.27
Derrick Alston,500000.0,2657.0,188.18
Rafer Alston,28129531.0,19392.0,1450.57
John Amaechi,9562500.0,4811.0,1987.63
Ashraf Amaya,472500.0,1248.0,378.61
Al-Farouq Aminu,42404869.0,17264.0,2456.26
Lou Amundson,11864489.0,5507.0,2154.44
Chris Andersen,38507101.0,12273.0,3137.55
David Andersen,4800000.0,1264.0,3797.47
Alan Anderson,8925429.0,6793.0,1313.92
Derek Anderson,58973127.0,17975.0,3280.84
Eric Anderson,390000.0,83.0,4698.8
Greg Anderson,5716250.0,14040.0,407.14
James Anderson,5374616.0,4320.0,1244.12
Justin Anderson,7058648.0,2874.0,2456.04
Kenny Anderson,63425200.0,25868.0,2451.88
Kyle Anderson,14221343.0,6795.0,2092.91
Nick Anderson,42530718.0,24922.0,1706.55
Richard Anderson,525000.0,6002.0,87.47
Ron Anderson,3290000.0,15112.0,217.71
Ryan Anderson,98931326.0,16769.0,5899.66
Shandon Anderson,49573425.0,15946.0,3108.83
Willie Anderson,10810000.0,15974.0,676.72
Martynas Andriuškevičius,1062971.0,9.0,118107.89
Ike Anigbogu,2328242.0,36.0,64673.39
Michael Ansley,200000.0,2143.0,93.33
Chris Anstey,2812820.0,2157.0,1304.04
Giannis Antetokounmpo,55244355.0,16763.0,3295.61
Kostas Antetokounmpo,0.0,16.0,0.0
Thanasis Antetokounmpo,105888.0,67.0,1580.42
Carmelo Anthony,259929555.0,39498.0,6580.83
Greg Anthony,18592250.0,15850.0,1173.01
Joel Anthony,23377987.0,7056.0,3313.21
Pero Antić,1250000.0,1962.0,637.1
OG Anunoby,3597960.0,4473.0,804.37
Keith Appling,161776.0,27.0,5991.7
Rafael Araújo,6716880.0,1585.0,4237.78
Robert Archibald,913137.0,328.0,2783.95
Ryan Arcidiacono,1424383.0,3114.0,457.41
Gilbert Arenas,140714721.0,19351.0,7271.7
Trevor Ariza,91320530.0,31366.0,2911.45
B.J. Armstrong,16380000.0,17790.0,920.74
Brandon Armstrong,2792170.0,699.0,3994.52
Darrell Armstrong,27536438.0,19915.0,1382.7
Hilton Armstrong,9494478.0,3378.0,2810.68
Carlos Arroyo,20209555.0,10651.0,1897.43
Darrell Arthur,40687487.0,8945.0,4548.63
Jamel Artis,0.0,279.0,0.0
Ömer Aşık,71488953.0,9216.0,7757.05
Vincent Askew,5857250.0,9361.0,625.71
Keith Askins,5748400.0,7983.0,720.08
Chucky Atkins,34191455.0,17304.0,1975.93
Stacey Augmon,30037500.0,21658.0,1386.9
D.J. Augustin,42888310.0,20448.0,2097.43
James Augustine,1100174.0,156.0,7052.4
Isaac Austin,22626666.0,8350.0,2709.78
Anthony Avent,3410000.0,6729.0,506.76
William Avery,3858600.0,1205.0,3202.16
Gustavo Ayón,4567500.0,2251.0,2029.1
Jeff Ayres,7353570.0,2322.0,3166.91
Deandre Ayton,8165160.0,3014.0,2709.08
Kelenna Azubuike,11206233.0,5025.0,2230.1
Chris Babb,48028.0,132.0,363.85
Luke Babbitt,10588763.0,5332.0,1985.89
Miloš Babić,200000.0,87.0,2298.85
Dwayne Bacon,2193857.0,2159.0,1016.14
Dalibor Bagarić,4079663.0,973.0,4192.87
John Bagley,4034000.0,17120.0,235.63
Marvin Bagley,7305600.0,1901.0,3843.03
James Bailey,1350000.0,11625.0,116.13
Thurl Bailey,7994000.0,24873.0,321.39
Toby Bailey,822500.0,698.0,1178.37
Cameron Bairstow,1352395.0,167.0,8098.17
Ron Baker,9586786.0,1394.0,6877.18
Vin Baker,97390894.0,25737.0,3784.08
Wade Baldwin,5443003.0,579.0,9400.7
Renaldo Balkman,10979217.0,3064.0,3583.3
Lonzo Ball,13748520.0,4773.0,2880.48
Greg Ballard,870833.0,22073.0,39.45
Mo Bamba,4865040.0,1524.0,3192.28
Gene Banks,490000.0,13074.0,37.48
Marcus Banks,26135520.0,5571.0,4691.35
Ken Bannister,855000.0,3867.0,221.1
Leandro Barbosa,46967358.0,18386.0,2554.52
Steve Bardo,375000.0,299.0,1254.18
J.J. Barea,36575160.0,16119.0,2269.07
Andrea Bargnani,73519408.0,15806.0,4651.36
Charles Barkley,43608000.0,39330.0,1108.77
Erick Barkley,2032700.0,266.0,7641.73
Harrison Barnes,81981290.0,18539.0,4422.1
Matt Barnes,33541557.0,21967.0,1526.91
