team_id,name,g,mp_per_g,fg_per_g,fga_per_g,fg_pct_per_g,fg3_per_g,fg3a_per_g,fg3_pct_per_g,fg2_per_g,fg2a_per_g,fg2_pct_per_g,ft_per_g,fta_per_g,ft_pct_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_fg_per_g,opp_fga_per_g,opp_fg_pct_per_g,opp_fg3_per_g,opp_fg3a_per_g,opp_fg3_pct_per_g,opp_fg2_per_g,opp_fg2a_per_g,opp_fg2_pct_per_g,opp_ft_per_g,opp_fta_per_g,opp_ft_pct_per_g,opp_orb_per_g,opp_drb_per_g,opp_trb_per_g,opp_ast_per_g,opp_stl_per_g,opp_blk_per_g,opp_tov_per_g,opp_pf_per_g,opp_pts_per_g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,mp_per_poss,fg_per_poss,fga_per_poss,fg_pct_per_poss,fg3_per_poss,fg3a_per_poss,fg3_pct_per_poss,fg2_per_poss,fg2a_per_poss,fg2_pct_per_poss,ft_per_poss,fta_per_poss,ft_pct_per_poss,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,opp_fg_per_poss,opp_fga_per_poss,opp_fg_pct_per_poss,opp_fg3_per_poss,opp_fg3a_per_poss,opp_fg3_pct_per_poss,opp_fg2_per_poss,opp_fg2a_per_poss,opp_fg2_pct_per_poss,opp_ft_per_poss,opp_fta_per_poss,opp_ft_pct_per_poss,opp_orb_per_poss,opp_drb_per_poss,opp_trb_per_poss,opp_ast_per_poss,opp_stl_per_poss,opp_blk_per_poss,opp_tov_per_poss,opp_pf_per_poss,opp_pts_per_poss,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,arena_name,attendance,attendance_per_g,goal,need_def,need_off,need_3p,need_trb,need_ts,pick_value_1,pick_value_2
ATL,Atlanta Hawks,82,242.1,41.4,91.8,0.451,13.0,37.0,0.35200000000000004,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,42.8,90.5,0.473,12.4,34.4,0.359,30.4,56.1,0.5429999999999999,21.5,28.3,0.758,10.6,35.4,46.0,26.9,9.9,5.5,15.0,22.2,119.4,19855,3392,7524,0.451,1067,3034,0.35200000000000004,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,3508,7417,0.473,1013,2820,0.359,2495,4597,0.5429999999999999,1759,2321,0.758,871,2904,3775,2202,810,448,1234,1817,9788,19855,39.5,87.6,0.451,12.4,35.3,0.35200000000000004,27.1,52.2,0.518,16.8,22.3,0.752,11.1,32.9,44.0,24.6,7.9,4.9,16.3,22.5,108.1,40.8,86.3,0.473,11.8,32.8,0.359,29.0,53.5,0.5429999999999999,20.5,27.0,0.758,10.1,33.8,43.9,25.6,9.4,5.2,14.4,21.1,113.9,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.40299999999999997,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,"628,440","15,328",selling,True,True,True,True,True,7.8100000000000005,1.49
BOS,Boston Celtics,82,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56.0,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,39.5,88.1,0.44799999999999995,11.5,33.5,0.344,28.0,54.6,0.513,17.4,22.8,0.764,10.4,35.5,45.9,23.7,6.8,3.9,15.1,19.5,108.0,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,3239,7222,0.44799999999999995,944,2748,0.344,2295,4474,0.513,1430,1872,0.764,852,2912,3764,1940,556,317,1241,1602,8852,19780,42.0,90.4,0.465,12.6,34.4,0.365,29.5,55.9,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.2,8.6,5.3,12.8,20.3,112.2,39.4,87.9,0.44799999999999995,11.5,33.5,0.344,27.9,54.5,0.513,17.4,22.8,0.764,10.4,35.5,45.8,23.6,6.8,3.9,15.1,19.5,107.8,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.5670000000000001,0.534,11.5,21.6,0.17300000000000001,0.514,13.4,77.0,0.198,TD Garden,"763,584","18,624",buying,False,False,False,True,False,3.13,0.6
BRK,Brooklyn Nets,82,243.7,40.3,89.7,0.449,12.8,36.2,0.353,27.5,53.6,0.513,19.0,25.5,0.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,42.2,92.5,0.456,10.3,30.3,0.341,31.9,62.1,0.513,17.6,22.8,0.77,11.0,35.2,46.2,23.7,7.8,5.3,13.5,22.0,112.3,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,3460,7581,0.456,848,2486,0.341,2612,5095,0.513,1442,1872,0.77,902,2889,3791,1944,638,432,1104,1807,9210,19980,39.3,87.6,0.449,12.5,35.3,0.353,26.8,52.3,0.513,18.5,24.9,0.745,10.7,34.8,45.5,23.3,6.4,4.0,14.7,21.0,109.6,41.2,90.3,0.456,10.1,29.6,0.341,31.1,60.7,0.513,17.2,22.3,0.77,10.7,34.4,45.2,23.2,7.6,5.1,13.1,21.5,109.7,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.40299999999999997,0.556,0.52,13.0,23.8,0.21100000000000002,0.512,11.6,76.4,0.19,Barclays Center,"612,597","14,941",rebuilding,True,True,True,True,True,4.13,0.79
CHI,Chicago Bulls,82,242.7,39.8,87.9,0.45299999999999996,9.1,25.9,0.35100000000000003,30.7,62.0,0.496,16.2,20.7,0.7829999999999999,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,42.2,89.2,0.473,12.1,33.0,0.365,30.2,56.2,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4,19905,3266,7205,0.45299999999999996,745,2123,0.35100000000000003,2521,5082,0.496,1328,1695,0.7829999999999999,718,2799,3517,1796,603,351,1159,1663,8605,3464,7316,0.473,990,2709,0.365,2474,4607,0.537,1377,1805,0.763,824,2984,3808,2094,600,473,1092,1534,9295,19905,39.8,87.8,0.45299999999999996,9.1,25.9,0.35100000000000003,30.7,61.9,0.496,16.2,20.6,0.7829999999999999,8.7,34.1,42.8,21.9,7.3,4.3,14.1,20.3,104.8,42.2,89.1,0.473,12.1,33.0,0.365,30.1,56.1,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.2,24.0,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,"823,475","20,085",selling,True,True,True,True,True,8.25,1.57
CHO,Charlotte Hornets,82,241.8,40.2,89.8,0.44799999999999995,11.9,33.9,0.35100000000000003,28.3,55.8,0.507,18.4,23.1,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,41.9,89.2,0.47,12.1,33.5,0.361,29.8,55.6,0.536,15.9,20.2,0.787,10.1,35.7,45.8,26.0,6.9,6.0,13.5,20.6,111.8,19830,3297,7362,0.44799999999999995,977,2783,0.35100000000000003,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,3436,7311,0.47,992,2748,0.361,2444,4563,0.536,1307,1660,0.787,825,2931,3756,2133,565,492,1109,1686,9171,19830,40.4,90.3,0.44799999999999995,12.0,34.1,0.35100000000000003,28.4,56.1,0.507,18.5,23.2,0.797,10.0,34.1,44.0,23.4,7.2,5.0,12.3,19.0,111.4,42.1,89.6,0.47,12.2,33.7,0.361,30.0,56.0,0.536,16.0,20.4,0.787,10.1,35.9,46.1,26.2,6.9,6.0,13.6,20.7,112.5,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.37799999999999995,0.5539999999999999,0.514,10.9,21.7,0.205,0.5379999999999999,12.1,77.1,0.179,Spectrum Center,"676,570","16,502",rebuilding,True,True,True,True,True,5.02,0.95
CLE,Cleveland Cavaliers,82,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,43.2,87.2,0.495,12.0,31.6,0.38,31.2,55.6,0.561,15.8,20.5,0.77,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,3539,7148,0.495,984,2590,0.38,2555,4558,0.561,1293,1680,0.77,782,2835,3617,2107,568,459,1022,1592,9355,19755,40.1,90.3,0.444,10.6,30.0,0.355,29.4,60.3,0.488,16.9,21.3,0.792,11.0,32.9,44.0,21.3,6.7,2.5,13.9,20.6,107.7,44.5,89.9,0.495,12.4,32.6,0.38,32.1,57.3,0.561,16.3,21.1,0.77,9.8,35.6,45.5,26.5,7.1,5.8,12.8,20.0,117.6,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.23600000000000002,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.18100000000000002,Quicken Loans Arena,"793,337","19,350",selling,True,True,True,True,True,8.96,1.7100000000000002
DAL,Dallas Mavericks,82,241.2,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,40.9,89.2,0.45899999999999996,11.2,32.5,0.344,29.7,56.7,0.525,17.1,22.0,0.777,10.2,34.6,44.8,24.5,7.8,4.5,13.0,23.2,110.1,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,3357,7315,0.45899999999999996,918,2667,0.344,2439,4648,0.525,1400,1802,0.777,836,2840,3676,2011,643,368,1065,1905,9032,19780,39.0,87.3,0.447,12.5,36.8,0.34,26.5,50.5,0.524,18.9,25.5,0.742,10.2,35.4,45.6,23.5,6.5,4.3,14.3,20.2,109.4,41.2,89.7,0.45899999999999996,11.3,32.7,0.344,29.9,57.0,0.525,17.2,22.1,0.777,10.2,34.8,45.1,24.7,7.9,4.5,13.1,23.4,110.7,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.29100000000000004,0.42200000000000004,0.555,0.519,12.7,22.7,0.21600000000000003,0.522,11.6,77.5,0.191,American Airlines Center,"820,569","20,014",rebuilding,True,True,True,False,True,6.61,1.26
DEN,Denver Nuggets,82,240.6,41.9,90.0,0.466,11.0,31.4,0.35100000000000003,30.9,58.7,0.527,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,39.6,86.4,0.45799999999999996,10.8,31.9,0.33899999999999997,28.8,54.5,0.528,16.7,22.2,0.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7,19730,3439,7384,0.466,903,2571,0.35100000000000003,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,3246,7084,0.45799999999999996,887,2618,0.33899999999999997,2359,4466,0.528,1372,1822,0.753,799,2685,3484,2016,610,407,1109,1675,8751,19730,42.8,91.9,0.466,11.2,32.0,0.35100000000000003,31.6,59.9,0.527,16.1,21.3,0.755,12.1,35.3,47.3,27.9,7.9,4.5,13.7,20.5,113.0,40.4,88.2,0.45799999999999996,11.0,32.6,0.33899999999999997,29.4,55.6,0.528,17.1,22.7,0.753,9.9,33.4,43.4,25.1,7.6,5.1,13.8,20.8,108.9,24.9,54,28,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.23199999999999998,0.348,0.5579999999999999,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.19399999999999998,Pepsi Center,"756,457","18,450",buying,False,False,True,False,True,2.31,0.43999999999999995
DET,Detroit Pistons,82,242.1,38.8,88.3,0.44,12.1,34.8,0.348,26.7,53.5,0.5,17.3,23.1,0.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0,39.9,85.0,0.469,9.6,27.8,0.345,30.3,57.2,0.53,17.9,23.7,0.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,3271,6969,0.469,786,2278,0.345,2485,4691,0.53,1470,1947,0.755,747,2834,3581,1940,566,419,1153,1748,8798,19855,39.5,89.9,0.44,12.3,35.4,0.348,27.2,54.4,0.5,17.6,23.5,0.747,11.6,34.2,45.8,22.9,7.1,4.1,14.1,22.5,109.0,40.6,86.5,0.469,9.8,28.3,0.345,30.9,58.2,0.53,18.3,24.2,0.755,9.3,35.2,44.5,24.1,7.0,5.2,14.3,21.7,109.2,26.9,41,41,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.39399999999999996,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.21100000000000002,Little Caesars Arena,"675,963","16,487",rebuilding,True,True,True,False,True,4.49,0.8500000000000001
GSW,Golden State Warriors,82,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.8009999999999999,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,40.4,91.1,0.444,11.6,33.6,0.34700000000000003,28.8,57.5,0.5,18.7,24.2,0.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.8009999999999999,797,2990,3787,2413,625,525,1169,1757,9650,3315,7471,0.444,955,2753,0.34700000000000003,2360,4718,0.5,1535,1987,0.773,886,2750,3636,1989,630,295,1105,1601,9120,19805,43.4,88.4,0.491,13.1,33.9,0.385,30.3,54.5,0.557,16.1,20.1,0.8009999999999999,9.6,35.9,45.5,29.0,7.5,6.3,14.0,21.1,115.9,39.8,89.7,0.444,11.5,33.1,0.34700000000000003,28.3,56.7,0.5,18.4,23.9,0.773,10.6,33.0,43.7,23.9,7.6,3.5,13.3,19.2,109.5,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.22699999999999998,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,"803,436","19,596",contending,True,False,False,True,False,2.19,0.42000000000000004
